Menu_Item_ID,Customizable_Builds,Customizable_Build_ID,Year,Restaurant,Food_Category,Item_Name,Item_Description,Serving_Size,Serving_Size_text,Serving_Size_Unit,Serving_Size_household,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Potassium,Carbohydrates,Protein,Sugar,Dietary_Fiber,Calories_100g,Total_Fat_100g,Saturated_Fat_100g,Trans_Fat_100g,Cholesterol_100g,Sodium_100g,Potassium_100g,Carbohydrates_100g,Protein_100g,Sugar_100g,Dietary_Fiber_100g,Calories_text,Total_Fat_text,Saturated_Fat_text,Trans_Fat_text,Cholesterol_text,Sodium_text,Potassium_text,Carbohydrates_text,Protein_text,Sugar_text,Dietary_Fiber_text,Kids_Meal,Limited_Time_Offer,Regional,Shareable,Combo_Meal
25554,,,2008,White Castle,Beverages,"Fanta Grape Soda, Medium","Fanta Grape Soda, Carbonated Soft Drinks, Beverages, Medium, 32 fl oz",32,,fl oz,,390,0,0,0,0,30,,104,0,104,0,43,0,0,0,0,3,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
25555,,,2008,White Castle,Beverages,"Fanta Grape Soda, Large","Fanta Grape Soda, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,540,0,0,0,0,40,,143,0,143,0,43,0,0,0,0,3,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
25557,,,2008,White Castle,Beverages,"Fanta Orange Soda, Small","Fanta Orange Soda, Carbonated Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,240,0,0,0,0,40,,64,0,64,0,40,0,0,0,0,7,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
25558,,,2008,White Castle,Beverages,"Fanta Orange Soda, Medium","Fanta Orange Soda, Carbonated Soft Drinks, Beverages, Medium, 32 fl oz",32,,fl oz,,360,0,0,0,0,40,,98,0,98,0,40,0,0,0,0,4,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
25559,,,2008,White Castle,Beverages,"Fanta Orange Soda, Large","Fanta Orange Soda, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,500,0,0,0,0,40,,135,0,135,0,40,0,0,0,0,3,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
2556,,,2008,Papa Murphy's,Pizza,"Papa's Favorite DeLITE, Large Size Thin Crust Pizza","Papa's Favorite DeLITE, Large Size Thin Crust Pizza, Pizzas, 1 Slice",96,,g,"1 Slice, 1/10 Pizza",195,11,5,0,25,520,,135,105,1,5,203,11,5,0,26,542,,14,11,1,1,,,,,,,,,,,,0,0,0,0,0
25561,,,2008,White Castle,Beverages,"Fanta Strawberry Soda, Small","Fanta Strawberry Soda, Carbonated Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,260,0,0,0,0,40,,69,0,69,0,44,0,0,0,0,7,,12,0,12,0,,,,,,,,,,,,0,0,0,0,0
25562,,,2008,White Castle,Beverages,"Fanta Strawberry Soda, Medium","Fanta Strawberry Soda, Carbonated Soft Drinks, Beverages, Medium, 32 fl oz",32,,fl oz,,390,0,0,0,0,40,,105,0,105,0,43,0,0,0,0,4,,12,0,12,0,,,,,,,,,,,,0,0,0,0,0
25563,,,2008,White Castle,Beverages,"Fanta Strawberry Soda, Large","Fanta Strawberry Soda, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,530,0,0,0,0,40,,145,0,145,0,42,0,0,0,0,3,,12,0,12,0,,,,,,,,,,,,0,0,0,0,0
25565,,,2008,White Castle,Beverages,"Pibb Xtra, Small","Pibb Xtra, Carbonated Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,220,0,0,0,0,30,,59,0,59,0,37,0,0,0,0,5,,10,0,10,0,,,,,,,,,,,,0,0,0,0,0
