item_id,year,item_name,item_description
21928,2012,"Half Turkey, for Small Sandwiches","Half Turkey, for Small Sandwiches"
21929,2012,"Hard Boiled Eggs, for Regular Salads","Hard Boiled Eggs, for Regular Salads"
21930,2012,"Hard Boiled Eggs, for Small Salads","Hard Boiled Eggs, for Small Salads"
21931,2012,"Harvest Chicken Mix, for Regular Salads","Harvest Chicken Mix, for Regular Salads"
21932,2012,"Harvest Chicken Mix, for Small Salads","Harvest Chicken Mix, for Small Salads"
21933,2012,"Harvest Chicken Mix, for Large Sandwiches","Harvest Chicken Mix, for Large Sandwiches"
21934,2012,"Harvest Chicken Mix, for Regular Sandwiches","Harvest Chicken Mix, for Regular Sandwiches"
21935,2012,"Harvest Chicken Mix, for Small Sandwiches","Harvest Chicken Mix, for Small Sandwiches"
21936,2012,"Honey Bourbon Mustard, for Regular Sandwiches","Honey Bourbon Mustard, for Regular Sandwiches"
21937,2012,"Honey Bourbon Mustard, for Sammies","Honey Bourbon Mustard, for Sammies"
21938,2012,"Honey Bourbon Mustard, for Small Sandwiches","Honey Bourbon Mustard, for Small Sandwiches"
21939,2012,"Honey Bourbon Mustard, for Large Sandwiches","Honey Bourbon Mustard, for Large Sandwiches"
2194,2012,"Crunchy Thin Crust, Extra Cheese, Medium, 12''","Crunchy Thin Crust, Extra Cheese, Medium, 12''"
21940,2012,"Honey Ham, for Bullet Sandwiches","Honey Ham, for Bullet Sandwiches"
21941,2012,"Honey Ham, for Regular Sandwiches","Honey Ham, for Regular Sandwiches"
21942,2012,"Honey Ham, for Sammies","Honey Ham, for Sammies"
21943,2012,"Honey Ham, for Small Sandwiches","Honey Ham, for Small Sandwiches"
21944,2012,"Honey Ham, for Toasty Sub, Kids","Honey Ham, for Toasty Sub, Kids"
21945,2012,"Honey Ham, for Torpedo Sandwiches","Honey Ham, for Torpedo Sandwiches"
21946,2012,"Honey Ham, for Large Classic Club Sandwich","Honey Ham, for Large Classic Club Sandwich"
21947,2012,"Honey Ham, for Large Sandwiches","Honey Ham, for Large Sandwiches"
21948,2012,"Honey Ham, for Regular Classic Club Sandwiches","Honey Ham, for Regular Classic Club Sandwiches"
21949,2012,"Honey Mustard Dressing, for Large Sandwiches","Honey Mustard Dressing, for Large Sandwiches"
21950,2012,"Honey Mustard Dressing, for Regular Sandwiches","Honey Mustard Dressing, for Regular Sandwiches"
21951,2012,"Honey Mustard Dressing, for Small Sandwiches","Honey Mustard Dressing, for Small Sandwiches"
21952,2012,"Honey Dijon, Regular","Honey Dijon, Regular"
21953,2012,"Honey Dijon, Small","Honey Dijon, Small"
21954,2012,"Italian Cheese Blend, for Regular Salads","Italian Cheese Blend, for Regular Salads"
21955,2012,"Italian Cheese Blend, for Small Salads","Italian Cheese Blend, for Small Salads"
21956,2012,"Italian White Bread, for Small Sandwiches","Italian White Bread, for Small Sandwiches"
21957,2012,"Italian White Bread, for Toasty Sub, Kids","Italian White Bread, for Toasty Sub, Kids"
21958,2012,"Italian White Bread, for Large Sandwiches","Italian White Bread, for Large Sandwiches"
21959,2012,"Lettuce & Tomatoes, for Sammies","Lettuce & Tomatoes, for Sammies"
21960,2012,"Lettuce & Tomatoes, for Torpedo Sandwiches","Lettuce & Tomatoes, for Torpedo Sandwiches"
21961,2012,"Lettuce, for Regular Sandwiches","Lettuce, for Regular Sandwiches"
21962,2012,"Lettuce, for Small Sandwiches","Lettuce, for Small Sandwiches"
21963,2012,"Lettuce, for Large Sandwiches","Lettuce, for Large Sandwiches"
21964,2012,"Lettuce & Tomatoes, for Bullet Sandwiches","Lettuce & Tomatoes, for Bullet Sandwiches"
21965,2012,"Mayonnaise, for Bullet Sandwiches","Mayonnaise, for Bullet Sandwiches"
21966,2012,"Mayonnaise, for Regular Sandwiches","Mayonnaise, for Regular Sandwiches"
21967,2012,"Mayonnaise, for Small Sandwiches","Mayonnaise, for Small Sandwiches"
21968,2012,"Mayonnaise, for Torpedo Sandwiches","Mayonnaise, for Torpedo Sandwiches"
21969,2012,"Mayonnaise, for Large Sandwiches","Mayonnaise, for Large Sandwiches"
21970,2012,"Mild Chipotle Mayonnaise, for Large Sandwiches","Mild Chipotle Mayonnaise, for Large Sandwiches"
21971,2012,"Mild Chipotle Mayonnaise, for Regular Sandwiches","Mild Chipotle Mayonnaise, for Regular Sandwiches"
21972,2012,"Mild Chipotle Mayonnaise, for Small Sandwiches","Mild Chipotle Mayonnaise, for Small Sandwiches"
21973,2012,"Mild Peppercorn Sauce, for Sammies","Mild Peppercorn Sauce, for Sammies"
21974,2012,"Mild Peppercorn Sauce, for Large Sandwiches","Mild Peppercorn Sauce, for Large Sandwiches"
21975,2012,"Mild Peppercorn Sauce, for Regular Sandwiches","Mild Peppercorn Sauce, for Regular Sandwiches"
21976,2012,"Mild Peppercorn Sauce, for Small Sandwiches","Mild Peppercorn Sauce, for Small Sandwiches"
21977,2012,"Mozzarella, for Cheesy Toasted Cheese, Kids","Mozzarella, for Cheesy Toasted Cheese, Kids"
21978,2012,"Mozzarella, for Bullet Sandwiches","Mozzarella, for Bullet Sandwiches"
