item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
45299,2018,45,9,1800.0,99.5,31.0,0.0,225.0,4965.0,,152.0,72.0,24.0,8.0
453,2018,90,9,510.0,21.0,4.0,0.0,75.0,1110.0,500.0,51.0,30.0,6.0,3.0
45300,2018,45,9,730.0,22.5,10.5,0.0,140.0,4630.0,,83.0,51.0,12.0,5.0
45301,2018,45,9,1470.0,45.5,21.5,1.0,275.0,9250.0,,166.0,100.0,22.0,10.0
45302,2018,45,9,730.0,22.5,10.0,0.0,140.0,4660.0,,82.0,50.0,11.0,3.0
45303,2018,45,9,1470.0,45.0,21.5,1.0,275.0,9310.0,,165.0,99.0,21.0,6.0
45304,2018,45,9,930.0,48.0,15.0,0.0,165.0,3625.0,,77.0,49.0,14.0,4.0
45305,2018,45,9,1850.0,96.5,30.5,1.0,325.0,7245.0,,153.0,96.0,26.0,8.0
45306,2018,45,9,930.0,48.0,14.5,0.0,165.0,3635.0,,76.0,48.0,13.0,2.0
45307,2018,45,9,1850.0,96.0,30.5,1.0,325.0,7305.0,,152.0,95.0,25.0,4.0
45308,2018,45,9,940.0,53.5,18.5,0.0,140.0,2150.0,,71.0,45.0,11.0,4.0
45309,2018,45,9,1880.0,107.5,37.0,1.0,275.0,4295.0,,140.0,88.0,20.0,8.0
45310,2018,45,9,940.0,53.5,18.0,0.0,140.0,2180.0,,70.0,44.0,10.0,2.0
45311,2018,45,9,1880.0,107.0,37.0,1.0,275.0,4355.0,,139.0,87.0,19.0,4.0
45312,2018,45,9,910.0,47.5,14.5,0.0,165.0,1960.0,,73.0,47.0,12.0,4.0
45313,2018,45,9,860.0,95.5,29.0,1.0,325.0,3915.0,,144.0,92.0,22.0,8.0
45314,2018,45,9,910.0,48.0,14.0,0.0,165.0,1990.0,,72.0,46.0,11.0,2.0
45315,2018,45,9,1800.0,95.0,29.0,1.0,325.0,3975.0,,143.0,91.0,21.0,4.0
45316,2018,45,9,730.0,28.5,12.5,0.0,155.0,2045.0,,70.0,50.0,8.0,4.0
45317,2018,45,9,1460.0,57.5,26.0,1.0,310.0,4085.0,,138.0,99.0,15.0,8.0
45318,2018,45,9,730.0,28.5,12.0,0.0,155.0,2075.0,,69.0,49.0,7.0,2.0
45319,2018,45,9,1460.0,57.0,26.0,1.0,310.0,4145.0,,138.0,98.0,14.0,4.0
45320,2018,45,9,570.0,20.5,10.0,0.0,75.0,2150.0,,62.0,35.0,6.0,6.0
45322,2018,45,9,570.0,20.5,10.5,0.0,75.0,2320.0,,62.0,35.0,8.0,4.0
45323,2018,45,9,570.0,20.5,10.5,0.0,75.0,2300.0,,61.0,35.0,11.0,4.0
45324,2018,45,9,570.0,20.5,10.0,0.0,75.0,2220.0,,60.0,35.0,5.0,7.0
45325,2018,45,9,570.0,20.0,9.0,0.0,60.0,1925.0,,64.0,33.0,6.0,6.0
